REGION,FUEL,YEAR,VALUE
REGION1,ATE2,2015,227.6
REGION1,ATE2,2016,227.9
REGION1,ATE2,2017,228.2
REGION1,ATE2,2018,228.5
REGION1,ATE2,2019,228.8
REGION1,ATE2,2020,229
REGION1,ATE2,2021,239.9
REGION1,ATE2,2022,250.8
REGION1,ATE2,2023,261.7
REGION1,ATE2,2024,272.7
REGION1,ATE2,2025,283.7
REGION1,ATE2,2026,294.7
REGION1,ATE2,2027,305.8
REGION1,ATE2,2028,316.8
REGION1,ATE2,2029,328
REGION1,ATE2,2030,339.1
REGION1,ATE2,2031,350.8
REGION1,ATE2,2032,362.4
REGION1,ATE2,2033,374
REGION1,ATE2,2034,385.6
REGION1,ATE2,2035,397.2
REGION1,ATE2,2036,409.2
REGION1,ATE2,2037,421.3
REGION1,ATE2,2038,433.4
REGION1,ATE2,2039,445.4
REGION1,ATE2,2040,457.5
REGION1,ATE2,2041,469
REGION1,ATE2,2042,480.4
REGION1,ATE2,2043,491.8
REGION1,ATE2,2044,503.3
REGION1,ATE2,2045,514.8
REGION1,ATE2,2046,524.6
REGION1,ATE2,2047,534.4
REGION1,ATE2,2048,544.1
REGION1,ATE2,2049,553.8
REGION1,ATE2,2050,563.5
REGION1,ATE2,2051,562.7
REGION1,ATE2,2052,561.9
REGION1,ATE2,2053,561.1
REGION1,ATE2,2054,560.2
REGION1,ATE2,2055,559.4
REGION1,ATE2,2056,558.2
REGION1,ATE2,2057,557
REGION1,ATE2,2058,555.8
REGION1,ATE2,2059,554.6
REGION1,ATE2,2060,553.4
REGION1,BEE2,2015,294.5
REGION1,BEE2,2016,292.8
REGION1,BEE2,2017,291.2
REGION1,BEE2,2018,289.6
REGION1,BEE2,2019,288.1
REGION1,BEE2,2020,286.5
REGION1,BEE2,2021,298.8
REGION1,BEE2,2022,311.1
REGION1,BEE2,2023,323.4
REGION1,BEE2,2024,335.6
REGION1,BEE2,2025,347.7
REGION1,BEE2,2026,361.3
REGION1,BEE2,2027,375
REGION1,BEE2,2028,388.7
REGION1,BEE2,2029,402.4
REGION1,BEE2,2030,416.2
REGION1,BEE2,2031,430.8
REGION1,BEE2,2032,445.3
REGION1,BEE2,2033,459.8
REGION1,BEE2,2034,474.4
REGION1,BEE2,2035,488.9
REGION1,BEE2,2036,505.6
REGION1,BEE2,2037,522.3
REGION1,BEE2,2038,539.1
REGION1,BEE2,2039,556.1
REGION1,BEE2,2040,573
REGION1,BEE2,2041,589.1
REGION1,BEE2,2042,605.1
REGION1,BEE2,2043,621.3
REGION1,BEE2,2044,637.5
REGION1,BEE2,2045,653.8
REGION1,BEE2,2046,670
REGION1,BEE2,2047,686.3
REGION1,BEE2,2048,702.7
REGION1,BEE2,2049,719.1
REGION1,BEE2,2050,735.6
REGION1,BEE2,2051,736.7
REGION1,BEE2,2052,737.8
REGION1,BEE2,2053,739
REGION1,BEE2,2054,740.1
REGION1,BEE2,2055,741.2
REGION1,BEE2,2056,742.6
REGION1,BEE2,2057,743.9
REGION1,BEE2,2058,745.3
REGION1,BEE2,2059,746.7
REGION1,BEE2,2060,748
REGION1,BGE2,2015,99.7
REGION1,BGE2,2016,99.7
REGION1,BGE2,2017,99.6
REGION1,BGE2,2018,99.5
REGION1,BGE2,2019,99.5
REGION1,BGE2,2020,99.4
REGION1,BGE2,2021,104.1
REGION1,BGE2,2022,108.8
REGION1,BGE2,2023,113.5
REGION1,BGE2,2024,118.2
REGION1,BGE2,2025,123
REGION1,BGE2,2026,127.5
REGION1,BGE2,2027,132
REGION1,BGE2,2028,136.4
REGION1,BGE2,2029,140.9
REGION1,BGE2,2030,145.4
REGION1,BGE2,2031,150.1
REGION1,BGE2,2032,154.8
REGION1,BGE2,2033,159.4
REGION1,BGE2,2034,164.1
REGION1,BGE2,2035,168.7
REGION1,BGE2,2036,173.6
REGION1,BGE2,2037,178.5
REGION1,BGE2,2038,183.3
REGION1,BGE2,2039,188.2
REGION1,BGE2,2040,193
REGION1,BGE2,2041,197.6
REGION1,BGE2,2042,202.1
REGION1,BGE2,2043,206.7
REGION1,BGE2,2044,211.3
REGION1,BGE2,2045,215.8
REGION1,BGE2,2046,221.1
REGION1,BGE2,2047,226.3
REGION1,BGE2,2048,231.6
REGION1,BGE2,2049,236.9
REGION1,BGE2,2050,242.2
REGION1,BGE2,2051,242.9
REGION1,BGE2,2052,243.5
REGION1,BGE2,2053,244.1
REGION1,BGE2,2054,244.7
REGION1,BGE2,2055,245.3
REGION1,BGE2,2056,246
REGION1,BGE2,2057,246.7
REGION1,BGE2,2058,247.4
REGION1,BGE2,2059,248.1
REGION1,BGE2,2060,248.8
REGION1,CHE2,2015,222.6
REGION1,CHE2,2016,222.5
REGION1,CHE2,2017,222.4
REGION1,CHE2,2018,222.3
REGION1,CHE2,2019,222.1
REGION1,CHE2,2020,222
REGION1,CHE2,2021,231.9
REGION1,CHE2,2022,241.7
REGION1,CHE2,2023,251.6
REGION1,CHE2,2024,261.5
REGION1,CHE2,2025,271.3
REGION1,CHE2,2026,280.9
REGION1,CHE2,2027,290.5
REGION1,CHE2,2028,300
REGION1,CHE2,2029,309.5
REGION1,CHE2,2030,319
REGION1,CHE2,2031,329.5
REGION1,CHE2,2032,340
REGION1,CHE2,2033,350.4
REGION1,CHE2,2034,360.8
REGION1,CHE2,2035,371.1
REGION1,CHE2,2036,380.6
REGION1,CHE2,2037,390.1
REGION1,CHE2,2038,399.6
REGION1,CHE2,2039,408.9
REGION1,CHE2,2040,418.2
REGION1,CHE2,2041,426.5
REGION1,CHE2,2042,434.7
REGION1,CHE2,2043,442.8
