REGION,FUEL,YEAR,VALUE
REGION1,ATE2,2015,227.6
REGION1,ATE2,2016,227.9
REGION1,ATE2,2017,228.2
REGION1,ATE2,2018,228.5
REGION1,ATE2,2019,228.8
REGION1,ATE2,2020,229
REGION1,ATE2,2021,239.9
REGION1,ATE2,2022,250.8
REGION1,ATE2,2023,261.7
REGION1,ATE2,2024,267.992
REGION1,ATE2,2025,274.284
REGION1,ATE2,2026,280.576
REGION1,ATE2,2027,286.868
REGION1,ATE2,2028,293.16
REGION1,ATE2,2029,299.452
REGION1,ATE2,2030,305.745
REGION1,ATE2,2031,312.037
REGION1,ATE2,2032,318.329
REGION1,ATE2,2033,324.621
REGION1,ATE2,2034,330.913
REGION1,ATE2,2035,337.205
REGION1,ATE2,2036,343.497
REGION1,ATE2,2037,349.789
REGION1,ATE2,2038,356.081
REGION1,ATE2,2039,362.373
REGION1,ATE2,2040,368.665
REGION1,ATE2,2041,374.957
REGION1,ATE2,2042,381.249
REGION1,ATE2,2043,387.541
REGION1,ATE2,2044,393.834
REGION1,ATE2,2045,400.126
REGION1,ATE2,2046,406.418
REGION1,ATE2,2047,412.71
REGION1,ATE2,2048,419.002
REGION1,ATE2,2049,425.294
REGION1,ATE2,2050,431.586
REGION1,ATE2,2051,431.586
REGION1,ATE2,2052,431.586
REGION1,ATE2,2053,431.586
REGION1,ATE2,2054,431.586
REGION1,ATE2,2055,431.586
REGION1,ATE2,2056,431.586
REGION1,ATE2,2057,431.586
REGION1,ATE2,2058,431.586
REGION1,ATE2,2059,431.586
REGION1,ATE2,2060,431.586
REGION1,BEE2,2015,294.5
REGION1,BEE2,2016,292.8
REGION1,BEE2,2017,291.2
REGION1,BEE2,2018,289.6
REGION1,BEE2,2019,288.1
REGION1,BEE2,2020,286.5
REGION1,BEE2,2021,298.8
REGION1,BEE2,2022,311.1
REGION1,BEE2,2023,323.4
REGION1,BEE2,2024,330.766
REGION1,BEE2,2025,338.131
REGION1,BEE2,2026,345.497
REGION1,BEE2,2027,352.863
REGION1,BEE2,2028,360.229
REGION1,BEE2,2029,367.594
REGION1,BEE2,2030,374.96
REGION1,BEE2,2031,382.326
REGION1,BEE2,2032,389.691
REGION1,BEE2,2033,397.057
REGION1,BEE2,2034,404.423
REGION1,BEE2,2035,411.788
REGION1,BEE2,2036,419.154
REGION1,BEE2,2037,426.52
REGION1,BEE2,2038,433.886
REGION1,BEE2,2039,441.251
REGION1,BEE2,2040,448.617
REGION1,BEE2,2041,455.983
REGION1,BEE2,2042,463.348
REGION1,BEE2,2043,470.714
REGION1,BEE2,2044,478.08
REGION1,BEE2,2045,485.445
REGION1,BEE2,2046,492.811
REGION1,BEE2,2047,500.177
REGION1,BEE2,2048,507.543
REGION1,BEE2,2049,514.908
REGION1,BEE2,2050,522.274
REGION1,BEE2,2051,522.274
REGION1,BEE2,2052,522.274
REGION1,BEE2,2053,522.274
REGION1,BEE2,2054,522.274
REGION1,BEE2,2055,522.274
REGION1,BEE2,2056,522.274
REGION1,BEE2,2057,522.274
REGION1,BEE2,2058,522.274
REGION1,BEE2,2059,522.274
REGION1,BEE2,2060,522.274
REGION1,BGE2,2015,99.7
REGION1,BGE2,2016,99.7
REGION1,BGE2,2017,99.6
REGION1,BGE2,2018,99.5
REGION1,BGE2,2019,99.5
REGION1,BGE2,2020,99.4
REGION1,BGE2,2021,104.1
REGION1,BGE2,2022,108.8
REGION1,BGE2,2023,113.5
REGION1,BGE2,2024,114.943
REGION1,BGE2,2025,116.387
REGION1,BGE2,2026,117.83
REGION1,BGE2,2027,119.273
REGION1,BGE2,2028,120.716
REGION1,BGE2,2029,122.16
REGION1,BGE2,2030,123.603
REGION1,BGE2,2031,125.046
REGION1,BGE2,2032,126.489
REGION1,BGE2,2033,127.933
REGION1,BGE2,2034,129.376
REGION1,BGE2,2035,130.819
REGION1,BGE2,2036,132.262
REGION1,BGE2,2037,133.706
REGION1,BGE2,2038,135.149
REGION1,BGE2,2039,136.592
REGION1,BGE2,2040,138.035
REGION1,BGE2,2041,139.479
REGION1,BGE2,2042,140.922
REGION1,BGE2,2043,142.365
REGION1,BGE2,2044,143.808
REGION1,BGE2,2045,145.252
REGION1,BGE2,2046,146.695
REGION1,BGE2,2047,148.138
REGION1,BGE2,2048,149.581
REGION1,BGE2,2049,151.025
REGION1,BGE2,2050,152.468
REGION1,BGE2,2051,152.468
REGION1,BGE2,2052,152.468
REGION1,BGE2,2053,152.468
REGION1,BGE2,2054,152.468
REGION1,BGE2,2055,152.468
REGION1,BGE2,2056,152.468
REGION1,BGE2,2057,152.468
REGION1,BGE2,2058,152.468
REGION1,BGE2,2059,152.468
REGION1,BGE2,2060,152.468
REGION1,CHE2,2015,222.6
REGION1,CHE2,2016,222.5
REGION1,CHE2,2017,222.4
REGION1,CHE2,2018,222.3
REGION1,CHE2,2019,222.1
REGION1,CHE2,2020,222
REGION1,CHE2,2021,231.9
REGION1,CHE2,2022,241.7
REGION1,CHE2,2023,251.6
REGION1,CHE2,2024,252.462
REGION1,CHE2,2025,253.324
REGION1,CHE2,2026,254.186
REGION1,CHE2,2027,255.047
REGION1,CHE2,2028,255.909
REGION1,CHE2,2029,256.771
REGION1,CHE2,2030,257.633
REGION1,CHE2,2031,258.495
REGION1,CHE2,2032,259.357
REGION1,CHE2,2033,260.219
REGION1,CHE2,2034,261.08
REGION1,CHE2,2035,261.942
REGION1,CHE2,2036,262.804
REGION1,CHE2,2037,263.666
REGION1,CHE2,2038,264.528
REGION1,CHE2,2039,265.39
REGION1,CHE2,2040,266.251
REGION1,CHE2,2041,267.113
